ID	Mecanismo de Ação	Reconstituição	Dosagem	Protocolo 1	Protocolo 2	Protocolo 3	Cuidados	Informativo
32	Solvente estéril com agente bacteriostático (cloreto de benzalcônio 0,9%) para reconstituição de peptídeos e hormônios liofilizados. Previne contaminação microbiana após abertura do frasco.	Pronto para uso. Aspirar com seringa e agulha estéril diretamente do vial.	Usar 1–2 ml por vial de peptídeo conforme protocolo específico de cada produto.	Reconstituição padrão: adicionar 1 ml ao vial liofilizado, girar suavemente entre os dedos por 30 seg. Não agitar.	Reconstituição concentrada: adicionar 0,5 ml para dose mais alta por seringa. Útil para peptídeos de alta dose.	Armazenamento pós-abertura: conservar entre 2–8 °C. Após reconstituição do peptídeo, usar em até 28 dias.	Não substituir por água destilada ou injetável sem bacteriostático. Verificar validade e integridade do frasco. Manter refrigerado após aberto.
33	Fragmento C-terminal do GH (aa 176–191) que regula o metabolismo lipídico via receptores β-3 adrenérgicos sem os efeitos anabólicos ou diabetogênicos do GH completo. Promove lipólise seletiva, especialmente em gordura visceral.	Adicionar 2 ml de água bacteriostática → concentração de 5.000 mcg/ml. Girar suavemente. Conservar 2–8 °C após reconstituição.	250–500 mcg por aplicação, 2×/dia, SC no abdômen. Aplicar em jejum (manhã) e à tarde antes do exercício.	Emagrecimento: 250 mcg 2×/dia (manhã em jejum + tarde). Ciclo de 12 semanas. Associar a dieta hipocalórica e aeróbico.	Alta intensidade: 500 mcg 2×/dia. Ciclo de 8 semanas. Indicado para gordura localizada resistente a dieta e exercício.	Manutenção: 250 mcg 1×/dia (manhã). Ciclo de 4–6 semanas após protocolo intensivo para fixar resultado.	Não aplicar no mesmo horário do GH completo. Evitar ingestão de glicose 15 min antes e após a dose. Armazenar entre 2–8 °C após reconstituição. Não usar em neoplasias ativas.
34	Peptídeo mitocondrial (MOTS-c) que ativa a via AMPK, melhora a sensibilidade à insulina, reduz gordura visceral e promove longevidade celular por meio da regulação do metabolismo energético mitocondrial.	Adicionar 2 ml de água bacteriostática ao vial de 10 mg → 5 mg/ml. Girar suavemente. Refrigerar imediatamente após reconstituição.	5–10 mg/aplicação, SC, 1×/dia. Ciclos de 4–8 semanas com intervalo de 2 semanas entre ciclos.	Sensibilidade insulínica: 5 mg/dia SC, 5 dias/semana por 4 semanas. Ideal para pré-diabéticos e resistência insulínica.	Longevidade + performance: 10 mg/dia SC, 5 dias/semana por 8 semanas. Combinar com NAD+ e exercício aeróbico regular.	Emagrecimento visceral: 5 mg/dia SC em jejum por 6 semanas. Associar a protocolo alimentar baixo em carboidratos.	Monitorar glicemia — pode causar hipoglicemia transitória. Evitar em gestantes e lactantes. Conservar entre 2–8 °C. Produto de uso supervisionado.
36	Tetrapeptídeo (Ala-Glu-Asp-Gly) que estimula a telomerase, induz alongamento dos telômeros e regula a produção de melatonina pela epífise. Apresenta atividade antioxidante e restaura o ciclo circadiano.	Adicionar 4 ml de água bacteriostática ao vial de 40 mg → 10 mg/ml. Conservar entre 2–8 °C e ao abrigo da luz.	5–10 mg/dia SC ou IV. Ciclos de 10 dias consecutivos, 2× ao ano.	Longevidade: 10 mg/dia SC por 10 dias. Repetir 2× ao ano. Protocolo anti-aging padrão para alongamento de telômeros.	Sono e melatonina: 5 mg/dia à noite por 10–20 dias. Indicado para distúrbios do sono e desequilíbrio circadiano.	Intensivo anti-aging: 10 mg 2×/dia (manhã e noite) por 10 dias. Combinar com NAD+ e SS-31 para efeito sinérgico.	Conservar em local escuro e refrigerado. Evitar em pacientes com histórico de neoplasia ativa. Uso com supervisão médica.
37	Composto sintético de nova geração com ação em receptores metabólicos que promove lipólise e melhora da composição corporal, modulando vias de sinalização intracelular ligadas ao metabolismo lipídico e energético.	Adicionar 3 ml de água bacteriostática ao vial de 60 mg → 20 mg/ml. Girar suavemente. Conservar 2–8 °C após reconstituição.	10–20 mg SC, 1–2×/semana conforme protocolo e resposta individual.	Emagrecimento ativo: 10 mg SC 2×/semana por 8 semanas. Associar a dieta hipocalórica e exercício físico regular.	Manutenção pós-ciclo: 10 mg SC 1×/semana por 4 semanas após protocolo de emagrecimento. Mantém resultado obtido.	Combinado com GLP-1: 20 mg SC 1×/semana associado a Tirzepatida ou Retatrutida. Efeito aditivo na perda de gordura.	Aplicar em abdômen, glúteo ou coxa com rodízio de sítios. Conservar entre 2–8 °C após reconstituição. Monitorar reações locais.
38	Secretagogo seletivo de GH (agonista GHRP-1) que estimula a liberação pulsátil de GH pela hipófise sem elevar cortisol, prolactina ou ACTH. Promove anabolismo, lipólise, melhora do sono profundo e recuperação tecidual.	Adicionar 2 ml de água bacteriostática ao vial de 10 mg → 5.000 mcg/ml. Conservar entre 2–8 °C.	200–300 mcg/aplicação, SC. 1–3×/dia. Máxima eficácia em jejum ou antes de dormir.	Performance e massa magra: 200 mcg SC 3×/dia (ao acordar, pós-treino, antes de dormir) por 12–16 semanas. Combinar com CJC-1295.	Longevidade e recuperação: 200 mcg SC 1×/dia antes de dormir por 16–24 semanas. Melhora qualidade do sono e recuperação tecidual.	Lipólise: 300 mcg SC 2×/dia (manhã em jejum + noite) por 8–12 semanas. Combinar com protocolo alimentar cetogênico ou low-carb.	Não ingerir alimentos 1 h antes e após a aplicação para maximizar o pico de GH. Evitar em acromegalia e neoplasias ativas. Monitorar IGF-1 sérico a cada 3 meses.
39	Agonista do receptor nuclear ERR-α (Estrogen-Related Receptor alpha) que mimetiza os efeitos moleculares do exercício aeróbico intenso, ativando o metabolismo mitocondrial e a biogênese mitocondrial no músculo esquelético.	Adicionar 1 ml de água bacteriostática ao vial de 5 mg → 5 mg/ml. Conservar 2–8 °C após reconstituição.	0,5–1 mg SC ou IM, 1×/dia. Ciclos de 4–8 semanas com intervalo de 2 semanas.	Exercício mimético: 1 mg/dia SC por 4 semanas. Indicado para aumento de endurance e capacidade aeróbica em sedentários ou reabilitação.	Longevidade metabólica: 0,5 mg/dia SC por 8 semanas. Combinar com NAD+ e MOTS-c para efeito sinérgico sobre metabolismo mitocondrial.	Composição corporal: 1 mg/dia SC + exercício aeróbico regular. Ciclo de 6 semanas para melhora da resistência e oxidação de gordura.	Produto de pesquisa. Monitorar marcadores metabólicos e hepáticos. Conservar entre 2–8 °C. Contraindicado em gestantes e lactantes.
40	Agonista ERR-α em forma oral (cápsula) com ação de mimetismo do exercício aeróbico. Mesma via de ação que a forma injetável — ativa biogênese mitocondrial — com biodisponibilidade oral adaptada para absorção gastrointestinal.	Cápsula oral — não requer reconstituição. Manter em local fresco e seco, protegido de luz e umidade.	1 cápsula (1.000 mcg) por dia, pela manhã com estômago vazio ou 30 min antes do exercício.	Endurance: 1 cápsula/dia pela manhã em jejum, 5 dias/semana, ciclo de 4 semanas. Ideal para atletas e praticantes de esportes de resistência.	Longevidade: 1 cápsula/dia por 8 semanas. Combinar com NAD+ oral para efeito metabólico ampliado sobre função mitocondrial.	Emagrecimento: 1 cápsula/dia + dieta hipocalórica + exercício 4×/semana. Ciclo de 6 semanas. Potencializa oxidação de gordura.	Tomar com estômago vazio para melhor absorção. Não exceder dose diária. Produto de pesquisa — uso com supervisão. Guardar em local fresco e seco.
41	Análogo sintético dos primeiros 29 aminoácidos do GHRH endógeno. Estimula a hipófise a produzir e secretar GH de forma fisiológica e pulsátil, restaurando o padrão natural de secreção em adultos com deficiência relativa de GH.	Adicionar 2 ml de água bacteriostática ao vial de 10 mg → 5.000 mcg/ml. Conservar entre 2–8 °C após reconstituição.	200–500 mcg SC, 1×/dia antes de dormir. Ciclos de 3–6 meses contínuos.	Anti-aging e longevidade: 200 mcg SC antes de dormir por 3–6 meses. Restaura o padrão fisiológico de secreção de GH em adultos acima de 35 anos.	Composição corporal: 300 mcg SC ao deitar + 300 mcg ao acordar por 3 meses. Combinar com dieta hiperproteica e treino de força.	Combinado com Ipamorelin: 200 mcg Sermorelin + 200 mcg Ipamorelin SC antes de dormir. Efeito sinérgico para maximizar produção de GH.	Aplicar preferencialmente à noite para coincidir com pico fisiológico de GH. Evitar carboidratos 2 h antes. Monitorar IGF-1 e glicemia a cada 3 meses.
42	Acessório descartável para aplicação de medicamentos via caneta injetora. Calibre 32G × 4 mm ideal para aplicação subcutânea superficial com mínimo desconforto. Compatível com canetas de insulina e GLP-1.	Não aplicável.	1 agulha por aplicação. Descartar após uso único.	Uso com caneta injetora: fixar agulha na caneta, remover capas externa e interna, inserir SC a 90°, manter pressão 5 seg após dose, retirar e recapsular.	Rodízio de sítio: alternar entre abdômen (regiões), coxas e glúteos a cada aplicação para evitar lipodistrofia por repetição.	Descarte seguro: recapsular com técnica unidirecional (capa fixa na superfície), descartar em coletor perfurocortante tipo Descarpak ou similar.	Nunca reutilizar agulhas — risco de infecção e quebra. Verificar validade e integridade da embalagem. Manter em local seco.
43	Toxina botulínica tipo A purificada (Daewoong Pharmaceutical) que bloqueia a liberação de acetilcolina na junção neuromuscular, causando relaxamento muscular temporário. Indicada para rugas dinâmicas, hiperhidrose e bruxismo.	Adicionar 1,5–3 ml de SF 0,9% estéril sem conservantes → 50–100 UI/ml. Reconstituir com SF gelado para menor desnaturação proteica. Usar em até 4 h.	2,5–5 UI por ponto de injeção IM ou SC. Total por sessão conforme área: 20–80 UI (facial), até 100 UI (hiperhidrose por axila).	Face completa anti-rugas: Glabela 20–30 UI + Testa 10–20 UI + Pés de galinha 12–24 UI. Total aprox. 50–80 UI.	Lifting não-cirúrgico: aplicações pontuais em zigomático, frontalis e músculo depressor para leve elevação de sobrancelha e canto da boca. 10–20 UI.	Hiperhidrose axilar: 50 UI por axila (25 pontos × 2 UI). Técnica intradérmica. Efeito com duração de 6–9 meses.	Uso exclusivo por profissional habilitado. Contraindicado em infecção local, gestação, lactação e distúrbios neuromusculares. Conservar 2–8 °C.
